Product Title,Product Subtitle,Price
Nike Sportswear Phoenix Fleece,Women's Oversized Crew-Neck Sweatshirt (Plus Size),$70
Nike Swift Element,Women's UV Protection 1/4-Zip Running Top,$48.97
Jordan,Women's Long-Sleeve Knit Top,$34.97
Nike Sportswear Classic Wovens,Women's Loose UV Hooded Jacket (Plus Size),$75
U.S. Club Fleece,Women's Nike Mid-Rise Pants,$65
Nike Sportswear Chill Knit,Women's Tight Cami Tank,$29.97
Nike Indy Light Support,Women's Padded Adjustable Sports Bra,$38
Nike One Fitted Rib,Women's Dri-FIT Short-Sleeve Cropped Top,$55
Air Jordan,Women's Knit Vest,$135
USWNT,Women's Nike Dri-FIT Soccer Tank Top,$35
Nike Sportswear Collection,Women's Mid-Rise Repel Asymmetrical-Waist Trousers,$100
Nike Dri-FIT Tour,Women's Golf Pants,$120
U.S. Standard Issue,Women's Nike Dri-FIT Pants,$90
Nike Sportswear Phoenix Fleece,Women's High-Waisted Oversized Sweatpants (Plus Size),$70
Jordan,Women's Utility Skirt,$63.97
NikeCourt Dri-FIT Victory,Women's Flouncy Skirt,$49.97
Nike Phoenix Fleece,Women's Crew-Neck Sweatshirt,$75
Nike Zenvy Rib,Women's Gentle-Support High-Waisted 7/8 Leggings,$110
"Nike ACG ""Activitorium""",Women's High-Waisted UV Pants,$125
Nike Ace,Gymnastics Swoosh Visor,$24
Nike Swoosh,Women's Dri-FIT 1/4-Zip Mid Layer,$62
Nike Zenvy Rib,Women's Dri-FIT Short-Sleeve Cropped Top,$36.97
Nike Fast Repel,Women's Running Jacket (Plus Size),$100
Nike Sportswear Chill Terry,Women's Slim High-Waisted French Terry Sweatpants,$59.97
Nike Sportswear Phoenix Fleece,Women's Oversized Crew-Neck Sweatshirt (Plus Size),$70
Nike Swift Element,Women's UV Protection 1/4-Zip Running Top,$48.97
Jordan,Women's Long-Sleeve Knit Top,$34.97
Nike Sportswear Classic Wovens,Women's Loose UV Hooded Jacket (Plus Size),$75
U.S. Club Fleece,Women's Nike Mid-Rise Pants,$65
Nike Sportswear Chill Knit,Women's Tight Cami Tank,$29.97
Nike Indy Light Support,Women's Padded Adjustable Sports Bra,$38
Nike One Fitted Rib,Women's Dri-FIT Short-Sleeve Cropped Top,$55
Nike Dri-FIT Bliss,Women's Mid-Rise Training Skort (Plus Size),$45.97
Nike Sportswear Essential,Women's Woven High-Rise Shorts,$44.97
Nike Alate Coverage,Women's Medium-Support Padded Sports Bra,$30.97
Nike Bliss,Women's Dri-FIT Trousers,$89.97
Nike One Classic,Women's Dri-FIT Cropped Tank Top,$40
Nike Sportswear Phoenix Fleece,Women's High-Waisted Oversized Sweatpants (Plus Size),$39.97
Nike Sportswear Phoenix Fleece,Women's Loose V-Neck Sleeveless Cropped Top,$75
Nike SB,Fleece Pullover Skate Hoodie,$105
Nike Alate All U,Women's Light-Support Lightly Lined Ribbed Sports Bra,$34.97
Nike Sportswear Chill Knit,Women's Tight Mini-Rib Flared Leggings (Plus Size),$59.97
Nike Sportswear Phoenix Plush,Women's Slim Mock-Neck Long-Sleeve Cropped Cozy Fleece Top,$62
Nike ACG,Women's Dri-FIT ADV Short-Sleeve T-Shirt,$38.97
Nike Pro,Women's Mid-Rise Crop Mesh Panel Leggings,$33.97
Nike Swoosh,Women's High-Support Non-Padded Adjustable Sports Bra,$42.97
Nike Swift Wool,Women's Dri-FIT Short-Sleeve Running Top,$56.97
Nike Tour,Women's Dri-FIT ADV 1/4-Zip Golf Top,$110
Nike Sportswear Chill Knit,Women's T-Shirt,$30
Nike One,Women's Dri-FIT Short Bodysuit,$63.97
Nike Dri-FIT Repel,"Women's Mid-Rise 3"" Brief-Lined Trail Running Shorts with Pockets",$45.97
Jordan Flight Heritage,Women's Graphic T-Shirt (Plus Size),$42
Nike Sportswear,Women's Ribbed Jersey Long-Sleeve V-Neck Top,$44.97
Nike Indy Seamless Ribbed,Women's Light-Support Non-Padded Sports Bra,$34.97
Nike Swoosh Medium Support,Women's Padded Sports Bra (Plus Size),$40
Nike Sportswear Everything Wovens,Women's Mid-Rise Cargo Pants,$90
Sabrina,Dri-FIT Basketball Shorts,$55
Nike Sportswear Chill Knit,Women's Tight Cropped Mini-Rib Tank Top,$33.97
Nike Sportswear Essential,Women's Tunic (Plus Size),$35
Jordan,Women's Tank,$42
Nike ACG,Women's Mid-Rise Hike Pants,$130
Nike Sportswear Club Fleece,Women's Mid-Rise Graphic Shorts,$46.97
Nike Sportswear Club Fleece,Women's Oversized Cropped Hoodie,$42.97
Nike Therma-FIT One,Women's High-Waisted 7/8 Joggers,$65
Nike Zenvy,Women's Gentle-Support High-Waisted 7/8 Leggings (Plus Size),$60.97
