,Feature,Mean SHAP Value,Absolute value,Normalized Mean SHAP Value
165,hem,83.48881225971168,83.48881225971168,1.0988085582555717e-05
463,v-neck,59.10950452958183,59.10950452958183,7.779488975038785e-06
332,support,8.023317689208046,8.023317689208046,1.055960661541164e-06
200,u-neck,4.097779878383896,4.097779878383896,5.393148469053632e-07
363,cape,3.0049922461634404,3.0049922461634404,3.954914566642351e-07
356,t-shirt,1.6454550936201349,1.6454550936201349,2.16560769060972e-07
247,pant,0.9451903714661285,0.9451903714661285,1.2439789730353166e-07
188,split-hem,0.9402547322623889,0.9402547322623889,1.2374831055642832e-07
374,briefs,0.6833565423733126,0.6833565423733126,8.993756130629197e-08
230,midkini,0.6461629181006048,0.6461629181006048,8.50424536197361e-08
459,sheer,0.3092284103885833,0.3092284103885833,4.069800666630239e-08
345,high-waist,0.19934950022215042,0.19934950022215042,2.623668141866393e-08
383,shrug,0.0506541009334315,0.0506541009334315,6.666660850708368e-09
375,cutoff,0.03840190023996688,0.03840190023996688,5.054130666716233e-09
379,coaches,0.02737984198132715,0.02737984198132715,3.60350134089587e-09
443,ribbed,0.019677164755431076,0.019677164755431076,2.5897406431192217e-09
152,bandon,0.018385047762044613,0.018385047762044613,2.4196832219902788e-09
286,corduroy,0.014974882583814917,0.014974882583814917,1.9708663588101406e-09
161,biker,0.014938212963938862,0.014938212963938862,1.966040216114225e-09
43,dugout,0.013771758398368092,0.013771758398368092,1.812521412244027e-09
99,canvas,0.012749313112250842,0.012749313112250842,1.6779558818063825e-09
10,victory,0.012071126184788658,0.012071126184788658,1.5886987011347513e-09
139,tapered,0.010735345058177729,0.010735345058177729,1.4128945791033443e-09
226,poly,0.00860318761741564,0.00860318761741564,1.1322781970940105e-09
284,windproof,0.008433111445398532,0.008433111445398532,1.1098942215277506e-09
149,"6""",0.007985004930944213,0.007985004930944213,1.0509182629812562e-09
300,harrington,0.007315878073605907,0.007315878073605907,9.62853491486503e-10
52,diamond,0.0071692881866707355,0.0071692881866707355,9.435605805013733e-10
335,chino,0.007078284865651853,0.007078284865651853,9.315834993501684e-10
274,warm-up,0.006104406028235648,0.006104406028235648,8.034098707772654e-10
17,flow,0.0060861249340043375,0.0060861249340043375,8.01003869032606e-10
107,flag,0.006041419591070491,0.006041419591070491,7.951201329863136e-10
7,packable,0.005699610316042397,0.005699610316042397,7.501341107245927e-10
401,bungee,0.005509651699778877,0.005509651699778877,7.251333773789746e-10
234,anthem,0.005333625069889652,0.005333625069889652,7.019662532855705e-10
350,practice,0.005123429561566998,0.005123429561566998,6.743021127617669e-10
6,collared,0.004707254636875657,0.004707254636875657,6.195287177876373e-10
138,trouser,0.004559357995786371,0.004559357995786371,6.000638229630908e-10
402,nike,0.004530252392647984,0.004530252392647984,5.962331916538126e-10
119,stock,0.004365026660928554,0.004365026660928554,5.744875896811088e-10
341,high-pile,0.0041220903500441336,0.0041220903500441336,5.425143838963078e-10
73,bike,0.004115959572828891,0.004115959572828891,5.417075032747568e-10
259,"10""",0.003882750008670643,0.003882750008670643,5.110144489566525e-10
229,"4""",0.003702001413277878,0.003702001413277878,4.87225860026626e-10
320,cover-up,0.0033951562569329106,0.0033951562569329106,4.468415169361661e-10
131,cuffed,0.003367741220432556,0.003367741220432556,4.432333835927702e-10
255,"7""",0.003358114136130186,0.003358114136130186,4.4196634884449925e-10
384,water-resistant,0.002995900017681527,0.002995900017681527,3.9429481507847823e-10
442,polar,0.0029087780877918444,0.0029087780877918444,3.8282856953210094e-10
94,trail,0.002894518344842029,0.002894518344842029,3.809518237541109e-10
347,carpenter,0.0028742115203402225,0.0028742115203402225,3.782792126641162e-10
254,double-knee,0.002594235155685078,0.002594235155685078,3.414311108327753e-10
373,waffle,0.0024918070477595606,0.0024918070477595606,3.279503966450619e-10
