title,image_url,gender
Everyday Seamless Shorts,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessShortsGSBurgundyBrownB6A8M-RBQV-1886_3840x.jpg?v=1711527973,0
Heritage Washed Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/HeritageWashedHoodieGSOnyxGrey-ACIDWASHSMALLBALLA4A7J-GB8N-1430_3840x.jpg?v=1695912174,1
I Love Squats Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/ILoveSquatsHoodieGSAsphaltGreyB1C9E-GCBZ2_3840x.jpg?v=1722504833,0
Essential Oversized Joggers,https://cdn.shopify.com/s/files/1/0156/6146/products/EssentialPantCharcoalGreyMarlA2A7T-GBFH3_3840x.jpg?v=1660721985,1
Arrival Regular Fit T-Shirt,https://cdn.shopify.com/s/files/1/0156/6146/files/ArrivalT-ShirtWhiteA2A1J-WBBM-0089_3840x.jpg?v=1727788402,1
Minimal Sports Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/MinimalSportsBraGsHeavyBlueB3A2J-UCTN_3afb804d-a277-4039-8ae6-7a24021f4c1d_3840x.jpg?v=1722504970,0
Everyday Seamless Long Sleeve Crop Top,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessLongSleeveCropTopGSNavyB7A2S-UB9P-0876_3840x.jpg?v=1690799792,0
Training T-Shirt,https://cdn.shopify.com/s/files/1/0156/6146/files/BFCM-GoodLevelT-Shirt_Poly_GSGraphiteGreyA1C4O-GB7J-0794_3840x.jpg?v=1728378654,1
GSLC Weight Graphic Pants,https://cdn.shopify.com/s/files/1/0156/6146/files/GSLCWeightPantGFXGSBlackB2B8A-BB2J_3840x.jpg?v=1721294092,0
Ruched Strappy Sports Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/RuchedStrappySportsBraGSBlackB6A6I-BB2J-0200_c0fa8cb5-22b7-497c-bf74-4fa006dfb413_3840x.jpg?v=1729082432,0
Arrival Shorts,https://cdn.shopify.com/s/files/1/0156/6146/products/ArrivalShorts-Navy-A2A1L-UBCY-1729.179_3840x.jpg?v=1669042945,1
Everyday Seamless Shorts,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessShortsGSNavyB6A8M-UB9P-1508_3840x.jpg?v=1690107788,0
Crest Straight Leg Joggers,https://cdn.shopify.com/s/files/1/0156/6146/files/EssentialStraightLegJogger-A5A1O-BBBB-Black-0282_3840x.jpg?v=1689579314,1
Vital Seamless 2.0 Crop Top,https://cdn.shopify.com/s/files/1/0156/6146/files/VitalSeamlessCropTopBlackMarlBlackMarlB1A3D-BBF3-1565_fd4b801e-176e-473a-948f-838526fafa9c_3840x.jpg?v=1703754982,0
Everyday Seamless Shorts,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessShortsGsStrengthGreenB6A8M-ECJH_3840x.jpg?v=1722504971,0
2012 Lifting Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/Graphic-GoodLevelOversizedHoodieGSBlackA1C4C-BB2J6256_8c221044-a40a-4ad0-ae77-7c82d3bac568_3840x.jpg?v=1728378647,1
